university_id,academic_level,academic_level_grade,university_size,university_size_grade,Literature,Mathematics,Biology,Chemistry,Physics,Computer Science,Politics,History,total_awards
u035,0.70,#70,0.86,#86,30,32,24,27,25,31,21,31,221
u036,0.86,#86,0.67,#67,42,38,36,37,38,41,37,36,305
u037,0.65,#65,0.62,#62,17,24,21,20,25,28,28,26,189
u038,0.48,#48,0.80,#80,18,17,18,16,15,16,14,16,130
u039,0.71,#71,0.94,#94,25,27,28,26,29,27,27,30,219
u040,0.69,#69,0.51,#51,24,32,27,26,24,29,32,29,223
u041,0.76,#76,0.51,#51,28,28,28,31,32,23,39,31,240
u042,0.56,#56,0.50,#50,11,16,17,17,23,16,26,15,141
u043,0.80,#80,0.76,#76,39,32,30,38,37,42,36,33,287
u044,0.68,#68,0.88,#88,30,26,30,29,31,29,21,29,225
u045,0.81,#81,0.77,#77,36,35,30,31,32,32,40,28,264
u046,0.55,#55,0.81,#81,21,12,18,18,17,20,18,19,143
u047,0.64,#64,0.48,#48,26,19,22,25,26,26,17,27,188
u048,0.47,#47,0.56,#56,22,9,16,9,19,21,19,17,132
u049,0.66,#66,0.59,#59,23,17,29,19,26,23,26,22,185
u050,0.76,#76,0.79,#79,31,27,37,27,35,31,24,34,246
u051,0.67,#67,0.66,#66,23,21,28,31,33,21,30,24,211
u052,0.83,#83,0.57,#57,33,34,35,38,39,32,31,36,278
u053,0.57,#57,0.28,#28,14,20,13,11,25,22,16,27,148
u054,0.61,#61,0.65,#65,30,20,20,24,25,25,24,26,194
u055,0.69,#69,0.62,#62,19,34,22,29,29,23,27,27,210
u056,0.67,#67,0.63,#63,21,29,22,25,27,25,26,25,200
u057,0.76,#76,0.69,#69,33,31,31,27,33,34,26,36,251
u058,0.58,#58,0.79,#79,18,18,26,24,28,22,20,15,171
u059,0.72,#72,0.64,#64,37,25,32,26,28,29,31,26,234
u060,0.49,#49,0.61,#61,18,16,14,16,21,13,10,22,130
u061,0.63,#63,0.74,#74,23,21,22,25,22,24,26,21,184
u062,0.50,#50,0.70,#70,12,18,22,10,18,19,18,20,137
u063,0.74,#74,0.42,#42,35,28,24,29,28,36,24,26,230
u064,0.60,#60,0.64,#64,18,23,26,28,14,20,23,28,180
u065,0.69,#69,0.63,#63,29,24,22,28,18,20,22,33,196
u066,0.65,#65,0.44,#44,24,22,25,21,28,21,23,25,189
u067,0.55,#55,0.76,#76,12,18,20,20,16,18,16,25,145
u068,0.85,#85,0.27,#27,37,33,34,32,37,42,33,34,282
u069,0.59,#59,0.43,#43,22,19,23,17,24,19,16,19,159
u070,0.70,#70,0.83,#83,29,29,30,27,33,23,33,29,233
u071,0.61,#61,0.67,#67,28,18,22,19,28,19,27,22,183
u072,0.64,#64,0.93,#93,28,26,24,22,21,22,28,26,197
u073,0.68,#68,0.57,#57,23,19,30,27,27,26,32,32,216
u074,0.78,#78,0.67,#67,33,34,36,26,32,32,35,33,261
u075,0.65,#65,0.52,#52,21,30,24,21,27,20,26,17,186
u076,0.62,#62,0.73,#73,22,30,23,19,25,22,19,16,176
u077,0.49,#49,0.84,#84,16,17,19,19,16,23,15,18,143
u078,0.59,#59,0.57,#57,21,17,21,16,20,19,20,22,156
u079,0.73,#73,0.51,#51,27,29,37,21,21,35,34,31,235
u080,0.78,#78,0.63,#63,32,36,30,33,30,33,39,36,269
u081,0.77,#77,0.59,#59,32,33,33,34,34,34,35,33,268
u082,0.70,#70,0.85,#85,31,32,23,26,27,27,31,32,229
u083,0.85,#85,0.73,#73,39,37,39,32,38,38,36,36,295
u084,0.75,#75,0.52,#52,24,38,25,28,36,27,34,29,241
u085,0.73,#73,0.73,#73,23,30,25,28,37,28,32,31,234
u086,0.68,#68,0.48,#48,31,23,29,25,28,29,26,23,214
u087,0.52,#52,0.69,#69,23,20,13,16,18,16,16,17,139
u088,0.58,#58,0.63,#63,25,17,26,15,18,18,22,20,161
u089,0.49,#49,0.54,#54,17,21,15,13,13,22,9,15,125
u090,0.72,#72,0.57,#57,29,24,25,27,31,29,30,27,222
u091,0.62,#62,0.77,#77,19,18,26,29,22,28,20,29,191
u092,0.82,#82,0.84,#84,37,35,28,35,31,37,31,37,271
u093,0.83,#83,0.67,#67,38,41,37,34,34,33,33,30,280
u094,0.61,#61,0.84,#84,26,19,24,27,24,25,22,29,196
u095,0.64,#64,0.85,#85,23,25,25,20,25,27,22,27,194
u096,0.67,#67,0.41,#41,21,24,29,29,23,27,19,24,196
u097,0.76,#76,0.59,#59,39,29,30,33,25,27,25,25,233
u098,0.79,#79,0.49,#49,38,32,38,30,38,36,30,30,272
u099,0.59,#59,0.73,#73,25,26,26,24,14,21,20,21,177
u100,0.66,#66,0.72,#72,17,29,24,21,21,19,26,22,179
