node_id,parent_id,label,month,weight,metric_1,metric_2,metric_3,metric_4,metric_5
south_b,south,South B,2025-03,17,11,9,3,16,2
south_b,south,South B,2025-04,17,14,5,8,13,3
south_b,south,South B,2025-05,17,18,5,2,21,4
south_b,south,South B,2025-06,17,28,4,4,15,7
south_b,south,South B,2025-07,17,32,4,2,25,7
south_b,south,South B,2025-08,17,26,5,12,12,11
south_b,south,South B,2025-09,17,21,6,4,17,6
south_b,south,South B,2025-10,17,17,9,2,27,3
south_b,south,South B,2025-11,17,8,11,8,13,3
south_b,south,South B,2025-12,17,7,11,2,18,2
south_c,south,South C,2025-01,15,17,9,3,15,2
south_c,south,South C,2025-02,15,14,10,3,16,2
south_c,south,South C,2025-03,15,22,7,5,17,3
south_c,south,South C,2025-04,15,27,4,12,18,4
south_c,south,South C,2025-05,15,35,4,3,22,6
south_c,south,South C,2025-06,15,55,5,6,15,7
south_c,south,South C,2025-07,15,63,4,3,26,10
south_c,south,South C,2025-08,15,51,5,12,13,15
south_c,south,South C,2025-09,15,42,6,5,17,12
south_c,south,South C,2025-10,15,25,9,4,28,4
south_c,south,South C,2025-11,15,15,10,14,14,3
south_c,south,South C,2025-12,15,14,11,3,18,2
north_a_1,north_a,North A 1,2025-01,9,2,4,1,4,1
north_a_1,north_a,North A 1,2025-02,9,2,4,1,4,1
north_a_1,north_a,North A 1,2025-03,9,4,3,2,4,1
north_a_1,north_a,North A 1,2025-04,9,6,2,4,3,1
north_a_1,north_a,North A 1,2025-05,9,6,2,1,6,2
north_a_1,north_a,North A 1,2025-06,9,9,2,2,4,2
north_a_1,north_a,North A 1,2025-07,9,10,2,1,9,3
north_a_1,north_a,North A 1,2025-08,9,8,2,4,3,4
north_a_1,north_a,North A 1,2025-09,9,7,4,2,4,2
north_a_1,north_a,North A 1,2025-10,9,4,4,1,7,1
north_a_1,north_a,North A 1,2025-11,9,3,5,4,4,1
north_a_1,north_a,North A 1,2025-12,9,2,5,1,5,1
north_a_2,north_a,North A 2,2025-01,9,8,7,2,9,1
north_a_2,north_a,North A 2,2025-02,9,9,8,2,9,2
north_a_2,north_a,North A 2,2025-03,9,14,5,3,10,3
north_a_2,north_a,North A 2,2025-04,9,17,3,9,8,2
north_a_2,north_a,North A 2,2025-05,9,22,4,3,12,4
north_a_2,north_a,North A 2,2025-06,9,35,3,4,9,5
north_a_2,north_a,North A 2,2025-07,9,54,3,2,15,6
north_a_2,north_a,North A 2,2025-08,9,33,4,9,7,10
north_a_2,north_a,North A 2,2025-09,9,27,5,4,10,6
north_a_2,north_a,North A 2,2025-10,9,16,7,3,21,3
north_a_2,north_a,North A 2,2025-11,9,10,8,8,8,2
north_a_2,north_a,North A 2,2025-12,9,9,12,3,10,1
north_b_1,north_b,North B 1,2025-01,11,7,6,1,14,1
north_b_1,north_b,North B 1,2025-02,11,8,6,1,11,1
north_b_1,north_b,North B 1,2025-03,11,12,6,2,12,1
north_b_1,north_b,North B 1,2025-04,11,15,3,5,9,1
north_b_1,north_b,North B 1,2025-05,11,19,3,1,15,2
north_b_1,north_b,North B 1,2025-06,11,30,2,2,10,3
north_b_1,north_b,North B 1,2025-07,11,34,3,1,18,3
north_b_1,north_b,North B 1,2025-08,11,28,3,7,9,5
north_b_1,north_b,North B 1,2025-09,11,23,4,2,12,3
north_b_1,north_b,North B 1,2025-10,11,19,6,1,19,1
north_b_1,north_b,North B 1,2025-11,11,8,6,4,9,1
north_b_1,north_b,North B 1,2025-12,11,8,7,1,13,1
north_b_2,north_b,North B 2,2025-01,9,10,7,3,15,1
north_b_2,north_b,North B 2,2025-02,9,8,7,3,15,1
north_b_2,north_b,North B 2,2025-03,9,12,5,5,16,2
north_b_2,north_b,North B 2,2025-04,9,15,3,14,17,2
north_b_2,north_b,North B 2,2025-05,9,19,3,4,21,3
north_b_2,north_b,North B 2,2025-06,9,31,4,7,14,4
north_b_2,north_b,North B 2,2025-07,9,35,3,3,25,5
north_b_2,north_b,North B 2,2025-08,9,28,4,14,12,8
north_b_2,north_b,North B 2,2025-09,9,24,5,6,16,6
north_b_2,north_b,North B 2,2025-10,9,14,7,4,26,2
north_b_2,north_b,North B 2,2025-11,9,9,8,17,13,2
north_b_2,north_b,North B 2,2025-12,9,8,8,4,17,1
south_b_1,south_b,South B 1,2025-01,8,3,4,1,5,1
south_b_1,south_b,South B 1,2025-02,8,4,4,1,5,1
south_b_1,south_b,South B 1,2025-03,8,6,3,1,6,1
south_b_1,south_b,South B 1,2025-04,8,10,2,3,4,1
south_b_1,south_b,South B 1,2025-05,8,9,2,1,7,1
south_b_1,south_b,South B 1,2025-06,8,15,2,1,5,1
south_b_1,south_b,South B 1,2025-07,8,17,2,1,12,2
south_b_1,south_b,South B 1,2025-08,8,14,2,3,4,3
south_b_1,south_b,South B 1,2025-09,8,11,4,1,6,2
south_b_1,south_b,South B 1,2025-10,8,7,4,1,9,1
south_b_1,south_b,South B 1,2025-11,8,4,5,3,5,1
south_b_1,south_b,South B 1,2025-12,8,4,5,1,6,1
south_b_2,south_b,South B 2,2025-01,9,4,5,1,6,1
south_b_2,south_b,South B 2,2025-02,9,4,6,1,6,1
south_b_2,south_b,South B 2,2025-03,9,7,4,2,6,1
south_b_2,south_b,South B 2,2025-04,9,9,3,4,5,1
south_b_2,south_b,South B 2,2025-05,9,11,3,2,8,2
south_b_2,south_b,South B 2,2025-06,9,17,2,2,6,2
south_b_2,south_b,South B 2,2025-07,9,27,2,1,10,3
south_b_2,south_b,South B 2,2025-08,9,16,3,4,5,4
south_b_2,south_b,South B 2,2025-09,9,13,3,2,6,2
south_b_2,south_b,South B 2,2025-10,9,8,5,1,14,1
south_b_2,south_b,South B 2,2025-11,9,5,6,4,5,1
south_b_2,south_b,South B 2,2025-12,9,5,9,1,7,1
