id,label,community,density,weight,channel_a,channel_b,channel_c,channel_d,channel_e,dominant_component,layout_x,layout_y
N045,Node 045,Community C,core,106,24.33,5.48,26.03,24.19,25.97,channel_c,0.597667,0.675166
N046,Node 046,Community A,core,39,8.07,10.04,4.9,8.72,7.27,channel_b,0.206932,0.464052
N047,Node 047,Community B,core,64,3.62,12.98,17.25,26.06,4.09,channel_d,0.696825,0.619241
N048,Node 048,Community C,core,71,16.34,14.62,11.16,7.93,20.95,channel_e,0.543626,0.648151
N049,Node 049,Community C,scattered,73,15.29,12.94,9,25.6,10.17,channel_d,0.426949,0.407987
N050,Node 050,Community B,scattered,32,10.27,10.14,3.66,2.76,5.17,channel_a,0.95,0.680628
N051,Node 051,Community B,scattered,75,19.94,16.64,14.89,19.52,4.01,channel_a,0.498592,0.254005
N052,Node 052,Community B,scattered,62,8.33,20.24,5.3,20.4,7.73,channel_d,0.656863,0.886986
N053,Node 053,Community A,scattered,19,3.99,4.52,5.16,2.15,3.18,channel_c,0.05,0.655549
N054,Node 054,Community B,scattered,20,5.08,1.71,4.76,3.64,4.81,channel_a,0.934773,0.401601
N055,Node 055,Community B,scattered,69,9.08,12.57,4.19,17.77,25.39,channel_e,0.95,0.55973
N056,Node 056,Community A,scattered,35,12.58,12.61,5.51,2.2,2.1,channel_b,0.167931,0.180355
N057,Node 057,Community A,scattered,21,3.39,5.08,2.55,6.66,3.32,channel_d,0.413261,0.074778
N058,Node 058,Community B,scattered,19,4.5,3.26,3.69,4.51,3.04,channel_d,0.343525,0.575895
N059,Node 059,Community A,scattered,71,17.22,15.17,6.96,15.85,15.8,channel_a,0.359388,0.110025
N060,Node 060,Community C,scattered,19,4.92,5.31,2.9,3.78,2.09,channel_b,0.547382,0.369032
N061,Node 061,Community B,scattered,82,22.99,14.67,22.3,18.51,3.53,channel_a,0.851372,0.881362
N062,Node 062,Community A,scattered,32,8.12,8.03,8.55,5.16,2.14,channel_c,0.545159,0.41584
N063,Node 063,Community C,scattered,23,1.6,5.14,6.7,3.58,5.98,channel_c,0.597755,0.318226
N064,Node 064,Community C,scattered,20,2.48,5.4,6.26,4.66,1.2,channel_c,0.165981,0.707694
N065,Node 065,Community B,scattered,59,10.12,13.02,18.56,3.2,14.1,channel_c,0.95,0.357912
N066,Node 066,Community C,scattered,28,5.78,4.47,6.92,3.73,7.1,channel_e,0.84011,0.672313
N067,Node 067,Community B,scattered,58,4.4,18.28,15.43,8.72,11.17,channel_b,0.627044,0.159594
N068,Node 068,Community A,scattered,54,3.72,19.19,3.42,12.81,14.86,channel_b,0.096534,0.121924
N069,Node 069,Community A,scattered,76,16.54,8.53,22.37,18.27,10.29,channel_c,0.50312,0.05
N070,Node 070,Community B,scattered,56,14,14.03,10.56,10.16,7.25,channel_b,0.768724,0.163453
N071,Node 071,Community C,scattered,27,5.66,4.92,5.47,5.07,5.88,channel_e,0.708428,0.274372
N072,Node 072,Community A,scattered,79,11.97,13.96,11.84,17.19,24.04,channel_e,0.05,0.211042
