cell_id,row_group,column_group,channel_a,channel_b,channel_c,channel_d,channel_e,heat_value
R08-C10,R08,C10,1.92,1.92,1.69,2.8,1.74,10.07
R08-C11,R08,C11,2.68,2.79,2.4,2.09,1.12,11.08
R08-C12,R08,C12,2.91,3.15,3.44,2.52,1.77,13.79
R08-C13,R08,C13,2.09,2.01,3.81,2.05,1.99,11.95
R08-C14,R08,C14,2.37,1.83,4.1,1.93,1.88,12.11
R08-C15,R08,C15,1.79,1.32,2.7,1.31,1.18,8.3
R08-C16,R08,C16,0.68,0.55,0.89,0.56,0.46,3.14
R08-C17,R08,C17,0.13,0.14,0.14,0.16,0.12,0.69
R08-C18,R08,C18,0.65,0.54,0.92,0.33,0.77,3.21
R08-C19,R08,C19,3.53,3.42,5.42,1.59,4.39,18.35
R08-C20,R08,C20,3.01,3.24,4.92,1.21,3.9,16.28
R09-C01,R09,C01,0.13,0.08,0.06,0.1,0.1,0.47
R09-C02,R09,C02,1.24,0.8,0.58,0.89,0.98,4.49
R09-C03,R09,C03,5.2,3.81,2.7,3.75,4.11,19.57
R09-C04,R09,C04,10.36,8.97,6.54,7.39,8.58,41.84
R09-C05,R09,C05,12.21,12.97,10.72,8.85,11.27,56.02
R09-C06,R09,C06,10.79,13.01,13.39,9.06,11.5,57.75
R09-C07,R09,C07,7.81,10.07,13.11,8.95,10.27,50.21
R09-C08,R09,C08,5.99,7.45,10.41,8.73,8.73,41.31
R09-C09,R09,C09,6.55,6.65,7.18,9.81,6.89,37.08
R09-C10,R09,C10,3.41,3.31,3.23,4.37,2.65,16.97
R09-C11,R09,C11,3.94,3.88,4.25,3.47,1.53,17.07
R09-C12,R09,C12,4.82,4.58,6.09,4.6,2.41,22.5
R09-C13,R09,C13,5.3,4.47,7.91,5.06,3.85,26.59
R09-C14,R09,C14,6.54,5.11,9.43,5.33,4.57,30.98
R09-C15,R09,C15,5.26,4.14,6.73,4.2,3.55,23.88
R09-C16,R09,C16,2.39,2.24,2.6,2.48,1.99,11.7
R09-C17,R09,C17,0.54,0.68,0.48,0.86,0.65,3.21
R09-C18,R09,C18,0.45,0.3,0.46,0.4,0.51,2.12
R09-C19,R09,C19,1.72,1.02,2.03,1.05,1.84,7.66
R09-C20,R09,C20,1.16,0.83,1.5,0.65,1.31,5.45
R10-C01,R10,C01,0.08,0.07,0.05,0.08,0.08,0.36
R10-C02,R10,C02,1.11,0.9,0.58,0.94,1.03,4.56
R10-C03,R10,C03,4.62,3.95,2.51,3.67,4.29,19.04
R10-C04,R10,C04,9.54,8.98,5.97,7.29,8.89,40.67
R10-C05,R10,C05,11.84,12.35,9.84,9.41,11.23,54.67
R10-C06,R10,C06,10.7,12.16,12.44,10.32,10.48,56.1
R10-C07,R10,C07,7.59,9.44,12.22,9.39,8.62,47.26
R10-C08,R10,C08,5.38,7.02,9.59,6.93,7.08,36
R10-C09,R10,C09,5.03,6.16,6.55,5.24,5.25,28.23
R10-C10,R10,C10,4.62,4.86,4.57,4.44,3.07,21.56
R10-C11,R10,C11,5.2,4.96,5.69,5.93,2.47,24.25
R10-C12,R10,C12,6.66,6.56,8.64,7.9,3.69,33.45
R10-C13,R10,C13,8.61,8.32,11.2,8.95,6.05,43.13
R10-C14,R10,C14,10.01,9.17,12,9.08,7.35,47.61
R10-C15,R10,C15,8.59,7.95,8.88,8.28,6.91,40.61
R10-C16,R10,C16,4.45,4.94,3.83,5.8,4.72,23.74
R10-C17,R10,C17,1.26,1.8,0.92,2.34,1.83,8.15
R10-C18,R10,C18,0.19,0.31,0.14,0.47,0.37,1.48
R10-C19,R10,C19,0.34,0.27,0.25,0.43,0.6,1.89
R10-C20,R10,C20,0.26,0.24,0.17,0.37,0.52,1.56
R11-C01,R11,C01,0.05,0.05,0.03,0.05,0.05,0.23
R11-C02,R11,C02,0.6,0.56,0.32,0.53,0.62,2.63
R11-C03,R11,C03,2.69,2.59,1.43,2.18,2.73,11.62
R11-C04,R11,C04,6.42,6.4,3.72,4.92,6.41,27.87
R11-C05,R11,C05,9.12,9.37,6.59,7.77,9,41.85
R11-C06,R11,C06,8.61,9.88,8.94,9.58,9.18,46.19
R11-C07,R11,C07,6.45,9.27,9.33,9.22,8.48,42.75
R11-C08,R11,C08,5.62,9.17,7.84,7.25,7.84,37.72
R11-C09,R11,C09,6.92,9.87,7.42,6.57,6.85,37.63
R11-C10,R11,C10,8.42,9.07,7.73,8.2,5.63,39.05
R11-C11,R11,C11,8.48,7.89,8.47,9.76,4.84,39.44
R11-C12,R11,C12,8.73,8.96,10.4,10.2,5.39,43.68
R11-C13,R11,C13,10.02,11.45,11.73,10.63,7.53,51.36
R11-C14,R11,C14,10.82,12.47,11.06,11.21,9.11,54.67
R11-C15,R11,C15,9.77,11.01,8.19,11.22,9.44,49.63
R11-C16,R11,C16,5.73,7.26,4.2,8.7,7.13,33.02
R11-C17,R11,C17,1.87,2.88,1.4,4.01,3.12,13.28
R11-C18,R11,C18,0.53,0.91,0.38,1.39,1.31,4.52
R11-C19,R11,C19,1.5,2.09,0.71,2.98,4.2,11.48
R11-C20,R11,C20,1.48,2.05,0.68,2.9,4.14,11.25
R12-C01,R12,C01,0.08,0.1,0.11,0.05,0.07,0.41
R12-C02,R12,C02,0.25,0.26,0.19,0.18,0.24,1.12
R12-C03,R12,C03,0.92,0.94,0.44,0.67,0.96,3.93
R12-C04,R12,C04,2.68,2.66,1.29,1.95,2.67,11.25
R12-C05,R12,C05,4.6,4.58,2.66,3.95,4.56,20.35
R12-C06,R12,C06,4.93,5.91,4.35,5.9,5.7,26.79
R12-C07,R12,C07,5.35,8.29,6.16,7.79,7.41,35
R12-C08,R12,C08,6.71,11.34,6.99,8.85,9.16,43.05
R12-C09,R12,C09,8.9,12.76,8.75,9.97,9.27,49.65
R12-C10,R12,C10,10.67,11.64,10.61,11.45,8.25,52.62
R12-C11,R12,C11,10,9.4,10.47,10.93,7.23,48.03
R12-C12,R12,C12,9.27,9.32,10.33,9.24,7.12,45.28
R12-C13,R12,C13,10.13,11.67,11.1,9.76,8.3,50.96
R12-C14,R12,C14,10.42,13.04,10.61,12.01,9.3,55.38
R12-C15,R12,C15,9.24,11.88,8.23,13.18,9.92,52.45
R12-C16,R12,C16,5.95,8.49,5.21,11.45,8.59,39.69
R12-C17,R12,C17,2.34,4,2.42,6.46,4.69,19.91
R12-C18,R12,C18,0.85,1.51,0.82,2.51,2.22,7.91
R12-C19,R12,C19,2.21,3.11,1.08,4.46,6.19,17.05
R12-C20,R12,C20,2.16,2.99,1,4.22,6.03,16.4
R13-C01,R13,C01,0.72,0.82,0.94,0.39,0.58,3.45
R13-C02,R13,C02,0.72,0.82,0.94,0.39,0.58,3.45
R13-C03,R13,C03,0.3,0.35,0.27,0.21,0.26,1.39
R13-C04,R13,C04,0.65,0.66,0.35,0.5,0.58,2.74
R13-C05,R13,C05,1.17,1.14,0.58,1.03,1.14,5.06
R13-C06,R13,C06,1.68,2.26,1.3,2.11,2,9.35
R13-C07,R13,C07,3.15,5.37,2.93,4.65,4.05,20.15
R13-C08,R13,C08,6.2,9.98,5.72,8.71,7.18,37.79
R13-C09,R13,C09,9.45,12.25,9.57,11.96,8.77,52
R13-C10,R13,C10,11.34,11.94,12.47,12.38,9.04,57.17
R13-C11,R13,C11,10.89,10.35,12.24,10.23,9.18,52.89
R13-C12,R13,C12,9.87,8.9,10.81,8.4,9.11,47.09
R13-C13,R13,C13,9.43,9.41,10.33,9.03,8.6,46.8
R13-C14,R13,C14,8.19,9.89,9.4,11.49,7.84,46.81
R13-C15,R13,C15,6.76,9.19,7.71,13.16,8.29,45.11
R13-C16,R13,C16,4.79,7.21,5.5,11.92,8.11,37.53
R13-C17,R13,C17,2.74,4.29,3.45,7.37,5.58,23.43
R13-C18,R13,C18,1.17,1.65,1.38,2.56,2.25,9.01
R13-C19,R13,C19,1.37,1.61,0.65,1.42,1.93,6.98
R13-C20,R13,C20,1.27,1.43,0.5,1.11,1.68,5.99
R14-C01,R14,C01,0.9,1.02,1.16,0.48,0.71,4.27
R14-C02,R14,C02,0.92,1.06,1.21,0.52,0.72,4.43
R14-C03,R14,C03,0.4,0.73,0.84,0.57,0.23,2.77
R14-C04,R14,C04,0.49,1.08,1.25,0.93,0.24,3.99
R14-C05,R14,C05,0.25,0.38,0.37,0.34,0.16,1.5
R14-C06,R14,C06,0.45,0.72,0.32,0.61,0.52,2.62
R14-C07,R14,C07,2,3.02,1.64,2.81,2.15,11.62
R14-C08,R14,C08,5.56,6.92,4.89,7.44,5.28,30.09
R14-C09,R14,C09,9.46,10.07,9.29,11.74,7.96,48.52
R14-C10,R14,C10,11.54,11.86,12.53,11.9,9.37,57.2
R14-C11,R14,C11,11.55,11.58,13.06,9.33,10.16,55.68
R14-C12,R14,C12,10.16,8.58,11.06,7.85,9.8,47.45
R14-C13,R14,C13,7.54,5.95,8.15,7.33,7.45,36.42
R14-C14,R14,C14,4.82,4.96,5.69,7.67,5.19,28.33
R14-C15,R14,C15,3.5,4.4,4.34,8.39,5.03,25.66
R14-C16,R14,C16,2.8,3.66,3.38,7.34,5.06,22.24
R14-C17,R14,C17,2.73,3.07,3.36,4.84,4.58,18.58
R14-C18,R14,C18,1.76,1.75,1.85,1.89,2.29,9.54
R14-C19,R14,C19,2.78,2.76,1.12,0.92,1.56,9.14
R14-C20,R14,C20,2.64,2.61,0.94,0.71,1.33,8.23
R15-C01,R15,C01,0.16,0.18,0.21,0.09,0.13,0.77
R15-C02,R15,C02,0.19,0.24,0.28,0.14,0.14,0.99
R15-C03,R15,C03,0.38,0.81,0.94,0.69,0.19,3.01
R15-C04,R15,C04,0.67,1.45,1.68,1.25,0.32,5.37
R15-C05,R15,C05,0.18,0.39,0.45,0.34,0.09,1.45
R15-C06,R15,C06,0.17,0.21,0.13,0.2,0.18,0.89
R15-C07,R15,C07,1.25,1.19,0.98,1.4,1.18,6
R15-C08,R15,C08,4.25,3.61,3.52,4.61,3.79,19.78
R15-C09,R15,C09,8.17,7.16,7.31,8.5,6.97,38.11
R15-C10,R15,C10,10.53,10.97,10.89,9.55,9.23,51.17
R15-C11,R15,C11,10.29,11.61,11.85,7.47,9.52,50.74
R15-C12,R15,C12,8,7.49,8.89,5.57,7.62,37.57
R15-C13,R15,C13,4.55,3.2,4.75,3.94,4.45,20.89
R15-C14,R15,C14,1.96,1.49,2.11,2.89,2.2,10.65
R15-C15,R15,C15,1.17,1.16,1.29,2.91,1.88,8.41
R15-C16,R15,C16,0.9,0.94,0.97,2.38,1.71,6.9
R15-C17,R15,C17,0.88,0.84,1.01,1.38,1.42,5.53
R15-C18,R15,C18,0.63,0.58,0.6,0.54,0.73,3.08
R15-C19,R15,C19,1.29,1.27,0.49,0.36,0.68,4.09
R15-C20,R15,C20,1.25,1.24,0.45,0.34,0.63,3.91
R16-C01,R16,C01,0,0,0,0,0,0
R16-C02,R16,C02,0,0,0,0,0,0
R16-C03,R16,C03,0.07,0.15,0.18,0.13,0.03,0.56
R16-C04,R16,C04,0.13,0.28,0.33,0.24,0.06,1.04
R16-C05,R16,C05,0.04,0.08,0.09,0.07,0.02,0.3
R16-C06,R16,C06,0.05,0.01,0.04,0.03,0.05,0.18
R16-C07,R16,C07,0.53,0.31,0.39,0.42,0.46,2.11
R16-C08,R16,C08,2.32,1.43,1.79,1.81,1.77,9.12
R16-C09,R16,C09,5.57,4.22,4.74,4.09,4.16,22.78
R16-C10,R16,C10,7.74,7.83,7.97,5.21,6.5,35.25
R16-C11,R16,C11,7.1,8.62,8.57,4.28,6.78,35.35
R16-C12,R16,C12,4.54,5.04,5.38,2.69,4.42,22.07
R16-C13,R16,C13,1.89,1.54,1.98,1.3,1.79,8.5
R16-C14,R16,C14,0.5,0.26,0.44,0.6,0.53,2.33
R16-C15,R16,C15,0.17,0.12,0.12,0.41,0.3,1.12
R16-C16,R16,C16,0.13,0.09,0.09,0.32,0.25,0.88
R16-C17,R16,C17,0.07,0.05,0.06,0.13,0.12,0.43
R16-C18,R16,C18,0,0,0,0,0,0
R16-C19,R16,C19,0.09,0.09,0.03,0.02,0.04,0.27
R16-C20,R16,C20,0.09,0.09,0.03,0.02,0.04,0.27
R17-C01,R17,C01,0,0,0,0,0,0
R17-C02,R17,C02,0,0,0,0,0,0
R17-C03,R17,C03,0,0,0,0,0,0
R17-C04,R17,C04,0,0,0,0,0,0
R17-C05,R17,C05,0,0,0,0,0,0
R17-C06,R17,C06,0,0,0,0,0,0
R17-C07,R17,C07,0.15,0.06,0.11,0.07,0.09,0.48
R17-C08,R17,C08,0.89,0.47,0.67,0.45,0.5,2.98
R17-C09,R17,C09,2.48,1.67,2.07,1.21,1.48,8.91
R17-C10,R17,C10,3.65,3.5,3.8,1.78,2.77,15.5
R17-C11,R17,C11,3.05,3.84,3.88,1.47,2.92,15.16
R17-C12,R17,C12,1.69,2.21,2.17,0.94,1.74,8.75
R17-C13,R17,C13,0.92,1.52,0.86,1.27,0.89,5.46
R17-C14,R17,C14,0.58,1.29,0.37,1.3,0.53,4.07
R17-C15,R17,C15,0.1,0.24,0.06,0.24,0.09,0.73
R17-C16,R17,C16,0.22,0.14,0.21,0.18,0.03,0.78
R17-C17,R17,C17,1.6,1.02,1.56,1.29,0.25,5.72
R17-C18,R17,C18,1.69,1.08,1.64,1.36,0.26,6.03
R17-C19,R17,C19,0.26,0.17,0.25,0.21,0.04,0.93
R17-C20,R17,C20,0,0,0,0,0,0
R18-C01,R18,C01,0,0,0,0,0,0
R18-C02,R18,C02,0,0,0,0,0,0
R18-C03,R18,C03,0,0,0,0,0,0
R18-C04,R18,C04,0,0,0,0,0,0
R18-C05,R18,C05,0,0,0,0,0,0
R18-C06,R18,C06,0,0,0,0,0,0
R18-C07,R18,C07,0,0,0,0,0,0
R18-C08,R18,C08,0.17,0.07,0.12,0.05,0.05,0.46
R18-C09,R18,C09,0.56,0.35,0.47,0.19,0.26,1.83
R18-C10,R18,C10,0.81,0.73,0.86,0.28,0.54,3.22
R18-C11,R18,C11,0.66,0.81,0.86,0.26,0.61,3.2
R18-C12,R18,C12,0.49,0.88,0.55,0.59,0.5,3.01
R18-C13,R18,C13,1.73,4.12,1.16,4.09,1.62,12.72
R18-C14,R18,C14,2.16,5.24,1.37,5.28,2,16.05
R18-C15,R18,C15,0.41,0.99,0.26,1,0.38,3.04
R18-C16,R18,C16,0.74,0.47,0.72,0.6,0.11,2.64
R18-C17,R18,C17,5.38,3.43,5.22,4.33,0.83,19.19
R18-C18,R18,C18,5.67,3.62,5.5,4.57,0.87,20.23
R18-C19,R18,C19,0.87,0.55,0.84,0.7,0.13,3.09
R18-C20,R18,C20,0,0,0,0,0,0
R19-C01,R19,C01,0,0,0,0,0,0
R19-C02,R19,C02,0,0,0,0,0,0
R19-C03,R19,C03,0,0,0,0,0,0
R19-C04,R19,C04,0,0,0,0,0,0
R19-C05,R19,C05,0,0,0,0,0,0
R19-C06,R19,C06,0,0,0,0,0,0
R19-C07,R19,C07,0,0,0,0,0,0
R19-C08,R19,C08,0,0,0,0,0,0
R19-C09,R19,C09,0.05,0.02,0.04,0.02,0.02,0.15
R19-C10,R19,C10,0.09,0.08,0.09,0.03,0.06,0.35
R19-C11,R19,C11,0.04,0.07,0.07,0.02,0.05,0.25
R19-C12,R19,C12,0.11,0.27,0.07,0.27,0.1,0.82
R19-C13,R19,C13,1,2.43,0.64,2.45,0.93,7.45
R19-C14,R19,C14,1.31,3.17,0.83,3.2,1.21,9.72
R19-C15,R19,C15,0.25,0.6,0.16,0.61,0.23,1.85
R19-C16,R19,C16,0.36,0.23,0.35,0.29,0.06,1.29
R19-C17,R19,C17,2.62,1.67,2.54,2.11,0.4,9.34
R19-C18,R19,C18,2.76,1.76,2.68,2.23,0.42,9.85
R19-C19,R19,C19,0.42,0.27,0.41,0.34,0.07,1.51
R19-C20,R19,C20,0,0,0,0,0,0
R20-C01,R20,C01,0,0,0,0,0,0
R20-C02,R20,C02,0,0,0,0,0,0
R20-C03,R20,C03,0,0,0,0,0,0
R20-C04,R20,C04,0,0,0,0,0,0
R20-C05,R20,C05,0,0,0,0,0,0
R20-C06,R20,C06,0,0,0,0,0,0
R20-C07,R20,C07,0,0,0,0,0,0
R20-C08,R20,C08,0,0,0,0,0,0
R20-C09,R20,C09,0,0,0,0,0,0
R20-C10,R20,C10,0,0,0,0,0,0
R20-C11,R20,C11,0,0,0,0,0,0
R20-C12,R20,C12,0,0,0,0,0,0
R20-C13,R20,C13,0.09,0.21,0.06,0.22,0.08,0.66
R20-C14,R20,C14,0.11,0.28,0.07,0.28,0.11,0.85
R20-C15,R20,C15,0,0,0,0,0,0
R20-C16,R20,C16,0,0,0,0,0,0
R20-C17,R20,C17,0.19,0.12,0.18,0.15,0.03,0.67
R20-C18,R20,C18,0.2,0.12,0.19,0.16,0.03,0.7
R20-C19,R20,C19,0,0,0,0,0,0
R20-C20,R20,C20,0,0,0,0,0,0
