university_id,academic_level,academic_level_grade,university_size,university_size_grade,reward,count
u026,0.62,#62,0.75,#75,Computer Science,20
u026,0.62,#62,0.75,#75,Politics,24
u026,0.62,#62,0.75,#75,History,24
u027,0.51,#51,0.68,#68,Literature,12
u027,0.51,#51,0.68,#68,Mathematics,21
u027,0.51,#51,0.68,#68,Biology,16
u027,0.51,#51,0.68,#68,Chemistry,15
u027,0.51,#51,0.68,#68,Physics,20
u027,0.51,#51,0.68,#68,Computer Science,16
u027,0.51,#51,0.68,#68,Politics,23
u027,0.51,#51,0.68,#68,History,19
u028,0.62,#62,0.61,#61,Literature,19
u028,0.62,#62,0.61,#61,Mathematics,27
u028,0.62,#62,0.61,#61,Biology,23
u028,0.62,#62,0.61,#61,Chemistry,21
u028,0.62,#62,0.61,#61,Physics,18
u028,0.62,#62,0.61,#61,Computer Science,22
u028,0.62,#62,0.61,#61,Politics,17
u028,0.62,#62,0.61,#61,History,25
u029,0.58,#58,0.43,#43,Literature,19
u029,0.58,#58,0.43,#43,Mathematics,25
u029,0.58,#58,0.43,#43,Biology,19
u029,0.58,#58,0.43,#43,Chemistry,20
u029,0.58,#58,0.43,#43,Physics,18
u029,0.58,#58,0.43,#43,Computer Science,17
u029,0.58,#58,0.43,#43,Politics,22
u029,0.58,#58,0.43,#43,History,24
u030,0.75,#75,0.74,#74,Literature,29
u030,0.75,#75,0.74,#74,Mathematics,28
u030,0.75,#75,0.74,#74,Biology,30
u030,0.75,#75,0.74,#74,Chemistry,33
u030,0.75,#75,0.74,#74,Physics,31
u030,0.75,#75,0.74,#74,Computer Science,27
u030,0.75,#75,0.74,#74,Politics,28
u030,0.75,#75,0.74,#74,History,25
u031,0.76,#76,0.70,#70,Literature,37
u031,0.76,#76,0.70,#70,Mathematics,32
u031,0.76,#76,0.70,#70,Biology,30
u031,0.76,#76,0.70,#70,Chemistry,37
u031,0.76,#76,0.70,#70,Physics,30
u031,0.76,#76,0.70,#70,Computer Science,33
u031,0.76,#76,0.70,#70,Politics,32
u031,0.76,#76,0.70,#70,History,35
u032,0.72,#72,0.74,#74,Literature,27
u032,0.72,#72,0.74,#74,Mathematics,27
u032,0.72,#72,0.74,#74,Biology,28
u032,0.72,#72,0.74,#74,Chemistry,27
u032,0.72,#72,0.74,#74,Physics,27
u032,0.72,#72,0.74,#74,Computer Science,35
u032,0.72,#72,0.74,#74,Politics,27
u032,0.72,#72,0.74,#74,History,28
u033,0.65,#65,0.72,#72,Literature,27
u033,0.65,#65,0.72,#72,Mathematics,19
u033,0.65,#65,0.72,#72,Biology,26
u033,0.65,#65,0.72,#72,Chemistry,30
u033,0.65,#65,0.72,#72,Physics,24
u033,0.65,#65,0.72,#72,Computer Science,18
u033,0.65,#65,0.72,#72,Politics,26
u033,0.65,#65,0.72,#72,History,17
u034,0.64,#64,0.56,#56,Literature,21
u034,0.64,#64,0.56,#56,Mathematics,27
u034,0.64,#64,0.56,#56,Biology,28
u034,0.64,#64,0.56,#56,Chemistry,17
u034,0.64,#64,0.56,#56,Physics,20
u034,0.64,#64,0.56,#56,Computer Science,18
u034,0.64,#64,0.56,#56,Politics,20
u034,0.64,#64,0.56,#56,History,27
u035,0.70,#70,0.86,#86,Literature,30
u035,0.70,#70,0.86,#86,Mathematics,32
u035,0.70,#70,0.86,#86,Biology,24
u035,0.70,#70,0.86,#86,Chemistry,27
u035,0.70,#70,0.86,#86,Physics,25
u035,0.70,#70,0.86,#86,Computer Science,31
u035,0.70,#70,0.86,#86,Politics,21
u035,0.70,#70,0.86,#86,History,31
u036,0.86,#86,0.67,#67,Literature,42
u036,0.86,#86,0.67,#67,Mathematics,38
u036,0.86,#86,0.67,#67,Biology,36
u036,0.86,#86,0.67,#67,Chemistry,37
u036,0.86,#86,0.67,#67,Physics,38
u036,0.86,#86,0.67,#67,Computer Science,41
u036,0.86,#86,0.67,#67,Politics,37
u036,0.86,#86,0.67,#67,History,36
u037,0.65,#65,0.62,#62,Literature,17
u037,0.65,#65,0.62,#62,Mathematics,24
u037,0.65,#65,0.62,#62,Biology,21
u037,0.65,#65,0.62,#62,Chemistry,20
u037,0.65,#65,0.62,#62,Physics,25
u037,0.65,#65,0.62,#62,Computer Science,28
u037,0.65,#65,0.62,#62,Politics,28
u037,0.65,#65,0.62,#62,History,26
u038,0.48,#48,0.80,#80,Literature,18
u038,0.48,#48,0.80,#80,Mathematics,17
u038,0.48,#48,0.80,#80,Biology,18
u038,0.48,#48,0.80,#80,Chemistry,16
u038,0.48,#48,0.80,#80,Physics,15
u038,0.48,#48,0.80,#80,Computer Science,16
u038,0.48,#48,0.80,#80,Politics,14
u038,0.48,#48,0.80,#80,History,16
u039,0.71,#71,0.94,#94,Literature,25
u039,0.71,#71,0.94,#94,Mathematics,27
u039,0.71,#71,0.94,#94,Biology,28
u039,0.71,#71,0.94,#94,Chemistry,26
u039,0.71,#71,0.94,#94,Physics,29
u039,0.71,#71,0.94,#94,Computer Science,27
u039,0.71,#71,0.94,#94,Politics,27
u039,0.71,#71,0.94,#94,History,30
u040,0.69,#69,0.51,#51,Literature,24
u040,0.69,#69,0.51,#51,Mathematics,32
u040,0.69,#69,0.51,#51,Biology,27
u040,0.69,#69,0.51,#51,Chemistry,26
u040,0.69,#69,0.51,#51,Physics,24
u040,0.69,#69,0.51,#51,Computer Science,29
u040,0.69,#69,0.51,#51,Politics,32
u040,0.69,#69,0.51,#51,History,29
u041,0.76,#76,0.51,#51,Literature,28
u041,0.76,#76,0.51,#51,Mathematics,28
u041,0.76,#76,0.51,#51,Biology,28
u041,0.76,#76,0.51,#51,Chemistry,31
u041,0.76,#76,0.51,#51,Physics,32
u041,0.76,#76,0.51,#51,Computer Science,23
u041,0.76,#76,0.51,#51,Politics,39
u041,0.76,#76,0.51,#51,History,31
u042,0.56,#56,0.50,#50,Literature,11
u042,0.56,#56,0.50,#50,Mathematics,16
u042,0.56,#56,0.50,#50,Biology,17
u042,0.56,#56,0.50,#50,Chemistry,17
u042,0.56,#56,0.50,#50,Physics,23
u042,0.56,#56,0.50,#50,Computer Science,16
u042,0.56,#56,0.50,#50,Politics,26
u042,0.56,#56,0.50,#50,History,15
u043,0.80,#80,0.76,#76,Literature,39
u043,0.80,#80,0.76,#76,Mathematics,32
u043,0.80,#80,0.76,#76,Biology,30
u043,0.80,#80,0.76,#76,Chemistry,38
u043,0.80,#80,0.76,#76,Physics,37
u043,0.80,#80,0.76,#76,Computer Science,42
u043,0.80,#80,0.76,#76,Politics,36
u043,0.80,#80,0.76,#76,History,33
u044,0.68,#68,0.88,#88,Literature,30
u044,0.68,#68,0.88,#88,Mathematics,26
u044,0.68,#68,0.88,#88,Biology,30
u044,0.68,#68,0.88,#88,Chemistry,29
u044,0.68,#68,0.88,#88,Physics,31
u044,0.68,#68,0.88,#88,Computer Science,29
u044,0.68,#68,0.88,#88,Politics,21
u044,0.68,#68,0.88,#88,History,29
u045,0.81,#81,0.77,#77,Literature,36
u045,0.81,#81,0.77,#77,Mathematics,35
u045,0.81,#81,0.77,#77,Biology,30
u045,0.81,#81,0.77,#77,Chemistry,31
u045,0.81,#81,0.77,#77,Physics,32
u045,0.81,#81,0.77,#77,Computer Science,32
u045,0.81,#81,0.77,#77,Politics,40
u045,0.81,#81,0.77,#77,History,28
u046,0.55,#55,0.81,#81,Literature,21
u046,0.55,#55,0.81,#81,Mathematics,12
u046,0.55,#55,0.81,#81,Biology,18
u046,0.55,#55,0.81,#81,Chemistry,18
u046,0.55,#55,0.81,#81,Physics,17
u046,0.55,#55,0.81,#81,Computer Science,20
u046,0.55,#55,0.81,#81,Politics,18
u046,0.55,#55,0.81,#81,History,19
u047,0.64,#64,0.48,#48,Literature,26
u047,0.64,#64,0.48,#48,Mathematics,19
u047,0.64,#64,0.48,#48,Biology,22
u047,0.64,#64,0.48,#48,Chemistry,25
u047,0.64,#64,0.48,#48,Physics,26
u047,0.64,#64,0.48,#48,Computer Science,26
u047,0.64,#64,0.48,#48,Politics,17
u047,0.64,#64,0.48,#48,History,27
u048,0.47,#47,0.56,#56,Literature,22
u048,0.47,#47,0.56,#56,Mathematics,9
u048,0.47,#47,0.56,#56,Biology,16
u048,0.47,#47,0.56,#56,Chemistry,9
u048,0.47,#47,0.56,#56,Physics,19
u048,0.47,#47,0.56,#56,Computer Science,21
u048,0.47,#47,0.56,#56,Politics,19
u048,0.47,#47,0.56,#56,History,17
u049,0.66,#66,0.59,#59,Literature,23
u049,0.66,#66,0.59,#59,Mathematics,17
u049,0.66,#66,0.59,#59,Biology,29
u049,0.66,#66,0.59,#59,Chemistry,19
u049,0.66,#66,0.59,#59,Physics,26
u049,0.66,#66,0.59,#59,Computer Science,23
u049,0.66,#66,0.59,#59,Politics,26
u049,0.66,#66,0.59,#59,History,22
u050,0.76,#76,0.79,#79,Literature,31
u050,0.76,#76,0.79,#79,Mathematics,27
u050,0.76,#76,0.79,#79,Biology,37
u050,0.76,#76,0.79,#79,Chemistry,27
u050,0.76,#76,0.79,#79,Physics,35
u050,0.76,#76,0.79,#79,Computer Science,31
u050,0.76,#76,0.79,#79,Politics,24
u050,0.76,#76,0.79,#79,History,34
u051,0.67,#67,0.66,#66,Literature,23
u051,0.67,#67,0.66,#66,Mathematics,21
u051,0.67,#67,0.66,#66,Biology,28
u051,0.67,#67,0.66,#66,Chemistry,31
u051,0.67,#67,0.66,#66,Physics,33
u051,0.67,#67,0.66,#66,Computer Science,21
u051,0.67,#67,0.66,#66,Politics,30
u051,0.67,#67,0.66,#66,History,24
u052,0.83,#83,0.57,#57,Literature,33
u052,0.83,#83,0.57,#57,Mathematics,34
u052,0.83,#83,0.57,#57,Biology,35
u052,0.83,#83,0.57,#57,Chemistry,38
u052,0.83,#83,0.57,#57,Physics,39
u052,0.83,#83,0.57,#57,Computer Science,32
u052,0.83,#83,0.57,#57,Politics,31
u052,0.83,#83,0.57,#57,History,36
u053,0.57,#57,0.28,#28,Literature,14
u053,0.57,#57,0.28,#28,Mathematics,20
u053,0.57,#57,0.28,#28,Biology,13
u053,0.57,#57,0.28,#28,Chemistry,11
u053,0.57,#57,0.28,#28,Physics,25
u053,0.57,#57,0.28,#28,Computer Science,22
u053,0.57,#57,0.28,#28,Politics,16
u053,0.57,#57,0.28,#28,History,27
u054,0.61,#61,0.65,#65,Literature,30
u054,0.61,#61,0.65,#65,Mathematics,20
u054,0.61,#61,0.65,#65,Biology,20
u054,0.61,#61,0.65,#65,Chemistry,24
u054,0.61,#61,0.65,#65,Physics,25
u054,0.61,#61,0.65,#65,Computer Science,25
u054,0.61,#61,0.65,#65,Politics,24
u054,0.61,#61,0.65,#65,History,26
u055,0.69,#69,0.62,#62,Literature,19
u055,0.69,#69,0.62,#62,Mathematics,34
u055,0.69,#69,0.62,#62,Biology,22
u055,0.69,#69,0.62,#62,Chemistry,29
u055,0.69,#69,0.62,#62,Physics,29
u055,0.69,#69,0.62,#62,Computer Science,23
u055,0.69,#69,0.62,#62,Politics,27
u055,0.69,#69,0.62,#62,History,27
u056,0.67,#67,0.63,#63,Literature,21
u056,0.67,#67,0.63,#63,Mathematics,29
u056,0.67,#67,0.63,#63,Biology,22
u056,0.67,#67,0.63,#63,Chemistry,25
u056,0.67,#67,0.63,#63,Physics,27
u056,0.67,#67,0.63,#63,Computer Science,25
u056,0.67,#67,0.63,#63,Politics,26
u056,0.67,#67,0.63,#63,History,25
u057,0.76,#76,0.69,#69,Literature,33
u057,0.76,#76,0.69,#69,Mathematics,31
u057,0.76,#76,0.69,#69,Biology,31
u057,0.76,#76,0.69,#69,Chemistry,27
u057,0.76,#76,0.69,#69,Physics,33
u057,0.76,#76,0.69,#69,Computer Science,34
u057,0.76,#76,0.69,#69,Politics,26
u057,0.76,#76,0.69,#69,History,36
u058,0.58,#58,0.79,#79,Literature,18
u058,0.58,#58,0.79,#79,Mathematics,18
u058,0.58,#58,0.79,#79,Biology,26
u058,0.58,#58,0.79,#79,Chemistry,24
u058,0.58,#58,0.79,#79,Physics,28
u058,0.58,#58,0.79,#79,Computer Science,22
u058,0.58,#58,0.79,#79,Politics,20
u058,0.58,#58,0.79,#79,History,15
u059,0.72,#72,0.64,#64,Literature,37
u059,0.72,#72,0.64,#64,Mathematics,25
u059,0.72,#72,0.64,#64,Biology,32
u059,0.72,#72,0.64,#64,Chemistry,26
u059,0.72,#72,0.64,#64,Physics,28
u059,0.72,#72,0.64,#64,Computer Science,29
u059,0.72,#72,0.64,#64,Politics,31
u059,0.72,#72,0.64,#64,History,26
u060,0.49,#49,0.61,#61,Literature,18
u060,0.49,#49,0.61,#61,Mathematics,16
u060,0.49,#49,0.61,#61,Biology,14
u060,0.49,#49,0.61,#61,Chemistry,16
u060,0.49,#49,0.61,#61,Physics,21
u060,0.49,#49,0.61,#61,Computer Science,13
u060,0.49,#49,0.61,#61,Politics,10
u060,0.49,#49,0.61,#61,History,22
u061,0.63,#63,0.74,#74,Literature,23
u061,0.63,#63,0.74,#74,Mathematics,21
u061,0.63,#63,0.74,#74,Biology,22
u061,0.63,#63,0.74,#74,Chemistry,25
u061,0.63,#63,0.74,#74,Physics,22
u061,0.63,#63,0.74,#74,Computer Science,24
u061,0.63,#63,0.74,#74,Politics,26
u061,0.63,#63,0.74,#74,History,21
u062,0.50,#50,0.70,#70,Literature,12
u062,0.50,#50,0.70,#70,Mathematics,18
u062,0.50,#50,0.70,#70,Biology,22
u062,0.50,#50,0.70,#70,Chemistry,10
u062,0.50,#50,0.70,#70,Physics,18
u062,0.50,#50,0.70,#70,Computer Science,19
u062,0.50,#50,0.70,#70,Politics,18
u062,0.50,#50,0.70,#70,History,20
u063,0.74,#74,0.42,#42,Literature,35
u063,0.74,#74,0.42,#42,Mathematics,28
u063,0.74,#74,0.42,#42,Biology,24
u063,0.74,#74,0.42,#42,Chemistry,29
u063,0.74,#74,0.42,#42,Physics,28
u063,0.74,#74,0.42,#42,Computer Science,36
u063,0.74,#74,0.42,#42,Politics,24
u063,0.74,#74,0.42,#42,History,26
u064,0.60,#60,0.64,#64,Literature,18
u064,0.60,#60,0.64,#64,Mathematics,23
u064,0.60,#60,0.64,#64,Biology,26
u064,0.60,#60,0.64,#64,Chemistry,28
u064,0.60,#60,0.64,#64,Physics,14
u064,0.60,#60,0.64,#64,Computer Science,20
u064,0.60,#60,0.64,#64,Politics,23
u064,0.60,#60,0.64,#64,History,28
u065,0.69,#69,0.63,#63,Literature,29
u065,0.69,#69,0.63,#63,Mathematics,24
u065,0.69,#69,0.63,#63,Biology,22
u065,0.69,#69,0.63,#63,Chemistry,28
u065,0.69,#69,0.63,#63,Physics,18
u065,0.69,#69,0.63,#63,Computer Science,20
u065,0.69,#69,0.63,#63,Politics,22
u065,0.69,#69,0.63,#63,History,33
u066,0.65,#65,0.44,#44,Literature,24
u066,0.65,#65,0.44,#44,Mathematics,22
u066,0.65,#65,0.44,#44,Biology,25
u066,0.65,#65,0.44,#44,Chemistry,21
u066,0.65,#65,0.44,#44,Physics,28
u066,0.65,#65,0.44,#44,Computer Science,21
u066,0.65,#65,0.44,#44,Politics,23
u066,0.65,#65,0.44,#44,History,25
u067,0.55,#55,0.76,#76,Literature,12
u067,0.55,#55,0.76,#76,Mathematics,18
u067,0.55,#55,0.76,#76,Biology,20
u067,0.55,#55,0.76,#76,Chemistry,20
u067,0.55,#55,0.76,#76,Physics,16
u067,0.55,#55,0.76,#76,Computer Science,18
u067,0.55,#55,0.76,#76,Politics,16
u067,0.55,#55,0.76,#76,History,25
u068,0.85,#85,0.27,#27,Literature,37
u068,0.85,#85,0.27,#27,Mathematics,33
u068,0.85,#85,0.27,#27,Biology,34
u068,0.85,#85,0.27,#27,Chemistry,32
u068,0.85,#85,0.27,#27,Physics,37
u068,0.85,#85,0.27,#27,Computer Science,42
u068,0.85,#85,0.27,#27,Politics,33
u068,0.85,#85,0.27,#27,History,34
u069,0.59,#59,0.43,#43,Literature,22
u069,0.59,#59,0.43,#43,Mathematics,19
u069,0.59,#59,0.43,#43,Biology,23
u069,0.59,#59,0.43,#43,Chemistry,17
u069,0.59,#59,0.43,#43,Physics,24
u069,0.59,#59,0.43,#43,Computer Science,19
u069,0.59,#59,0.43,#43,Politics,16
u069,0.59,#59,0.43,#43,History,19
u070,0.70,#70,0.83,#83,Literature,29
u070,0.70,#70,0.83,#83,Mathematics,29
u070,0.70,#70,0.83,#83,Biology,30
u070,0.70,#70,0.83,#83,Chemistry,27
u070,0.70,#70,0.83,#83,Physics,33
u070,0.70,#70,0.83,#83,Computer Science,23
u070,0.70,#70,0.83,#83,Politics,33
u070,0.70,#70,0.83,#83,History,29
u071,0.61,#61,0.67,#67,Literature,28
u071,0.61,#61,0.67,#67,Mathematics,18
u071,0.61,#61,0.67,#67,Biology,22
u071,0.61,#61,0.67,#67,Chemistry,19
u071,0.61,#61,0.67,#67,Physics,28
u071,0.61,#61,0.67,#67,Computer Science,19
u071,0.61,#61,0.67,#67,Politics,27
u071,0.61,#61,0.67,#67,History,22
u072,0.64,#64,0.93,#93,Literature,28
u072,0.64,#64,0.93,#93,Mathematics,26
u072,0.64,#64,0.93,#93,Biology,24
u072,0.64,#64,0.93,#93,Chemistry,22
u072,0.64,#64,0.93,#93,Physics,21
u072,0.64,#64,0.93,#93,Computer Science,22
u072,0.64,#64,0.93,#93,Politics,28
u072,0.64,#64,0.93,#93,History,26
u073,0.68,#68,0.57,#57,Literature,23
u073,0.68,#68,0.57,#57,Mathematics,19
u073,0.68,#68,0.57,#57,Biology,30
u073,0.68,#68,0.57,#57,Chemistry,27
u073,0.68,#68,0.57,#57,Physics,27
u073,0.68,#68,0.57,#57,Computer Science,26
u073,0.68,#68,0.57,#57,Politics,32
u073,0.68,#68,0.57,#57,History,32
u074,0.78,#78,0.67,#67,Literature,33
u074,0.78,#78,0.67,#67,Mathematics,34
u074,0.78,#78,0.67,#67,Biology,36
u074,0.78,#78,0.67,#67,Chemistry,26
u074,0.78,#78,0.67,#67,Physics,32
u074,0.78,#78,0.67,#67,Computer Science,32
u074,0.78,#78,0.67,#67,Politics,35
u074,0.78,#78,0.67,#67,History,33
