hex_id,x,y,arealabel,typelabel,weight
hex-10-12,12.60,9.10,Area-6,normal,8
hex-10-13,13.65,9.10,Area-6,normal,6
hex-10-14,14.70,9.10,Area-6,middle,4
hex-11-0,0.53,10.01,Area-4,middle,9
hex-11-1,1.58,10.01,Area-4,normal,7
hex-11-2,2.63,10.01,Area-4,middle,5
hex-11-3,3.68,10.01,Area-4,normal,3
hex-11-4,4.73,10.01,Area-4,normal,1
hex-11-5,5.78,10.01,Area-5,middle,8
hex-11-6,6.83,10.01,Area-5,normal,6
hex-11-7,7.88,10.01,Area-5,middle,4
hex-11-8,8.93,10.01,Area-5,normal,2
hex-11-9,9.97,10.01,Area-5,normal,9
hex-11-10,11.03,10.01,Area-6,middle,7
hex-11-11,12.08,10.01,Area-6,normal,5
hex-11-12,13.13,10.01,Area-6,middle,3
hex-11-13,14.18,10.01,Area-6,normal,1
hex-11-14,15.23,10.01,Area-6,normal,8
