id,point,label,station_type,month,pedestrian_trips,bicycle_trips,transit_rides,vehicle_trips,delivery_trips
11370,11370,East Elmhurst,Transit Hub,4,480,100,1036,588,187
11370,11370,East Elmhurst,Transit Hub,5,549,126,1099,555,206
11370,11370,East Elmhurst,Transit Hub,6,591,133,905,612,212
11370,11370,East Elmhurst,Transit Hub,7,577,134,990,659,220
11370,11370,East Elmhurst,Transit Hub,8,497,127,1010,633,198
11370,11370,East Elmhurst,Transit Hub,9,494,120,1056,582,196
11370,11370,East Elmhurst,Transit Hub,10,509,89,1034,567,209
11370,11370,East Elmhurst,Transit Hub,11,417,69,1039,504,248
11370,11370,East Elmhurst,Transit Hub,12,431,51,1018,596,290
11417,11417,Ozone Park,Mixed Use,1,278,50,402,410,132
11417,11417,Ozone Park,Mixed Use,2,296,51,486,427,124
11417,11417,Ozone Park,Mixed Use,3,337,74,489,427,122
11417,11417,Ozone Park,Mixed Use,4,353,98,533,496,136
11417,11417,Ozone Park,Mixed Use,5,368,112,482,467,129
11417,11417,Ozone Park,Mixed Use,6,395,115,497,462,128
11417,11417,Ozone Park,Mixed Use,7,380,125,441,477,141
11417,11417,Ozone Park,Mixed Use,8,408,117,489,487,146
11417,11417,Ozone Park,Mixed Use,9,395,100,528,507,134
11417,11417,Ozone Park,Mixed Use,10,360,90,525,430,155
11417,11417,Ozone Park,Mixed Use,11,318,63,526,460,153
11417,11417,Ozone Park,Mixed Use,12,315,48,494,435,188
11432,11432,Jamaica Center,Transit Hub,1,490,66,945,462,227
11432,11432,Jamaica Center,Transit Hub,2,538,69,1036,424,210
11432,11432,Jamaica Center,Transit Hub,3,598,103,1131,470,225
11432,11432,Jamaica Center,Transit Hub,4,656,126,1097,497,230
11432,11432,Jamaica Center,Transit Hub,5,689,135,1126,530,236
11432,11432,Jamaica Center,Transit Hub,6,773,163,1152,521,250
11432,11432,Jamaica Center,Transit Hub,7,779,164,968,514,236
11432,11432,Jamaica Center,Transit Hub,8,717,145,984,540,218
11432,11432,Jamaica Center,Transit Hub,9,768,144,1318,484,282
11432,11432,Jamaica Center,Transit Hub,10,742,106,1315,473,269
11432,11432,Jamaica Center,Transit Hub,11,543,79,1118,468,285
11432,11432,Jamaica Center,Transit Hub,12,597,62,1216,469,317
11004,11004,Glen Oaks,Residential,1,166,44,220,305,73
11004,11004,Glen Oaks,Residential,2,185,44,239,316,76
11004,11004,Glen Oaks,Residential,3,223,64,262,364,83
11004,11004,Glen Oaks,Residential,4,237,77,268,389,82
11004,11004,Glen Oaks,Residential,5,233,89,277,385,77
11004,11004,Glen Oaks,Residential,6,259,107,240,356,79
11004,11004,Glen Oaks,Residential,7,232,103,240,387,85
11004,11004,Glen Oaks,Residential,8,239,106,247,401,79
11004,11004,Glen Oaks,Residential,9,252,91,274,368,87
11004,11004,Glen Oaks,Residential,10,209,73,283,354,81
11004,11004,Glen Oaks,Residential,11,210,53,268,368,98
11004,11004,Glen Oaks,Residential,12,176,39,228,322,109
