id,source,target,word,weight,topic
K5_11,Discuss,Adopt,action,27,Advocacy
K5_12,Discuss,Adopt,commitment,25,Advocacy
K5_13,Discuss,Adopt,mobilize,25,Advocacy
K5_14,Discuss,Adopt,promote,23,Advocacy
K5_15,Discuss,Adopt,amplify,22,Advocacy
K5_16,Discuss,Adopt,coalition,21,Advocacy
K5_17,Discuss,Adopt,agreement,20,Advocacy
K5_18,Discuss,Adopt,confidence,18,Advocacy
K5_19,Discuss,Adopt,conversion,18,Advocacy
K5_20,Discuss,Adopt,participation,16,Advocacy
K5_21,Discuss,Adopt,leadership,15,Advocacy
K5_22,Discuss,Adopt,uptake,14,Advocacy
K5_23,Discuss,Adopt,approval,13,Advocacy
K5_24,Discuss,Adopt,adoption,11,Advocacy
K6_1,Discuss,Reconsider,question,112,Reflection
K6_2,Discuss,Reconsider,reconsider,94,Reflection
K6_3,Discuss,Reconsider,nuance,78,Reflection
K6_4,Discuss,Reconsider,compare,64,Reflection
K6_5,Discuss,Reconsider,feedback,34,Reflection
K6_6,Discuss,Reconsider,review,32,Reflection
K6_7,Discuss,Reconsider,alternative,32,Reflection
K6_8,Discuss,Reconsider,reflection,30,Reflection
K6_9,Discuss,Reconsider,revision,29,Reflection
K6_10,Discuss,Reconsider,challenge,28,Reflection
K6_11,Discuss,Reconsider,clarification,27,Reflection
K6_12,Discuss,Reconsider,context,25,Reflection
K6_13,Discuss,Reconsider,tradeoff,25,Reflection
K6_14,Discuss,Reconsider,pause,23,Reflection
K6_15,Discuss,Reconsider,debate,22,Reflection
K6_16,Discuss,Reconsider,perspective,21,Reflection
K6_17,Discuss,Reconsider,doubt,20,Reflection
K6_18,Discuss,Reconsider,inquiry,18,Reflection
K6_19,Discuss,Reconsider,reassess,18,Reflection
K6_20,Discuss,Reconsider,adjustment,16,Reflection
K6_21,Discuss,Reconsider,evidence,15,Reflection
K6_22,Discuss,Reconsider,concern,14,Reflection
K6_23,Discuss,Reconsider,deliberate,13,Reflection
K6_24,Discuss,Reconsider,reopen,11,Reflection
K7_1,Reconsider,Adopt,research,112,Evidence
K7_2,Reconsider,Adopt,evidence,94,Evidence
K7_3,Reconsider,Adopt,insight,78,Evidence
K7_4,Reconsider,Adopt,measure,64,Evidence
K7_5,Reconsider,Adopt,result,34,Evidence
K7_6,Reconsider,Adopt,validation,32,Evidence
K7_7,Reconsider,Adopt,learning,32,Evidence
K7_8,Reconsider,Adopt,clarity,30,Evidence
K7_9,Reconsider,Adopt,experiment,29,Evidence
K7_10,Reconsider,Adopt,benchmark,28,Evidence
K7_11,Reconsider,Adopt,finding,27,Evidence
K7_12,Reconsider,Adopt,proof,25,Evidence
K7_13,Reconsider,Adopt,iteration,25,Evidence
K7_14,Reconsider,Adopt,analysis,23,Evidence
K7_15,Reconsider,Adopt,outcome,22,Evidence
K7_16,Reconsider,Adopt,test,21,Evidence
K7_17,Reconsider,Adopt,data,20,Evidence
K7_18,Reconsider,Adopt,confidence,18,Evidence
K7_19,Reconsider,Adopt,update,18,Evidence
K7_20,Reconsider,Adopt,resolution,16,Evidence
K7_21,Reconsider,Adopt,improvement,15,Evidence
K7_22,Reconsider,Adopt,confirmation,14,Evidence
K7_23,Reconsider,Adopt,synthesis,13,Evidence
K7_24,Reconsider,Adopt,decision,11,Evidence
K8_1,Reconsider,Reject,warning,112,Concern
K8_2,Reconsider,Reject,unresolved,94,Concern
K8_3,Reconsider,Reject,risk,78,Concern
K8_4,Reconsider,Reject,caution,64,Concern
K8_5,Reconsider,Reject,objection,34,Concern
K8_6,Reconsider,Reject,harm,32,Concern
K8_7,Reconsider,Reject,uncertainty,32,Concern
K8_8,Reconsider,Reject,cost,30,Concern
K8_9,Reconsider,Reject,conflict,29,Concern
K8_10,Reconsider,Reject,limitation,28,Concern
K8_11,Reconsider,Reject,distrust,27,Concern
K8_12,Reconsider,Reject,failure,25,Concern
K8_13,Reconsider,Reject,barrier,25,Concern
K8_14,Reconsider,Reject,rejection,23,Concern
K8_15,Reconsider,Reject,threat,22,Concern
K8_16,Reconsider,Reject,ambiguity,21,Concern
K8_17,Reconsider,Reject,downside,20,Concern
K8_18,Reconsider,Reject,constraint,18,Concern
K8_19,Reconsider,Reject,vulnerability,18,Concern
K8_20,Reconsider,Reject,skepticism,16,Concern
K8_21,Reconsider,Reject,stop,15,Concern
K8_22,Reconsider,Reject,concern,14,Concern
K8_23,Reconsider,Reject,exit,13,Concern
K8_24,Reconsider,Reject,avoidance,11,Concern
